Problem,Algorithm,Run,Seed,Best_Fitness,Best_X1,Best_X2,Distance_to_Optimum,Final_Sigma1,Final_Sigma2,Avg_Final_Sigma
Problem_2,"Base ES (5,20)",Seed_0,0,3.913128464625884,0.964334381522357,1.08967384092636,1.4551047656389944,2.0,2.0,2.0
Problem_2,"Base ES (5,20)",Seed_1,1,7.463424506876683,1.1684837585226622,-0.9905160489790596,1.5318212484543796,2.0,2.0,2.0
Problem_2,"Base ES (5,20)",Seed_2,2,5.682599182142509,-1.0953945239048797,-0.8994399166488234,1.417350107299548,2.0,2.0,2.0
Problem_2,"Base ES (5,20)",Seed_3,3,9.442601880951898,-1.115171856126257,-1.8948996946501322,2.1986935033062807,2.0,2.0,2.0
Problem_2,"Base ES (5,20)",Seed_4,4,11.516413172044592,-2.9713380812541494,-1.0837044041781478,3.162793896027088,2.0,2.0,2.0
Problem_3,"(1,7)-ES",Seed_0,0,5.600272032814238,-0.12923733835112647,0.11384108639870583,0.1722268346586012,,,
Problem_3,"(1,7)-ES",Seed_1,1,16.91160633791934,2.9607963610740202,0.21465420041895203,2.9685672499552136,,,
Problem_3,"(1,7)-ES",Seed_2,2,18.99542044504964,-0.07879065798527596,1.351655011671212,1.3539494962374545,,,
Problem_3,"(1,7)-ES",Seed_3,3,10.728658837072524,1.983445068784374,-1.867895373001101,2.7245343575304704,,,
Problem_3,"(1,7)-ES",Seed_4,4,20.893240269484263,0.17613530940733546,-0.6686563288890852,0.6914657861264333,,,
Problem_3,"(5,20)-ES",Seed_0,0,7.082391935064901,-0.892470830216506,-1.9663680210562775,2.1594229268534035,,,
Problem_3,"(5,20)-ES",Seed_1,1,9.26937360940697,0.23079597401637986,0.04616124643320141,0.2353670373999644,,,
Problem_3,"(5,20)-ES",Seed_2,2,10.790870371151504,0.24181579406162257,0.9592327085077146,0.9892432801534208,,,
Problem_3,"(5,20)-ES",Seed_3,3,13.247620702870273,-0.8804824571086782,2.919208612902816,3.049102865257602,,,
Problem_3,"(5,20)-ES",Seed_4,4,4.811644883180072,0.9860486131272672,0.1431695260110626,0.9963881676477494,,,
Problem_3,"(10,30)-ES",Seed_0,0,5.45567374330122,-0.03772505876541521,-1.9110170363476104,1.9113893620269153,,,
Problem_3,"(10,30)-ES",Seed_1,1,3.3796708905257056,-0.9153898904512192,-0.9659016322627124,1.3307534011784705,,,
Problem_3,"(10,30)-ES",Seed_2,2,5.915423874673649,0.08143715827073317,0.15926194715983147,0.17887531568205098,,,
Problem_3,"(10,30)-ES",Seed_3,3,18.251796367766246,-1.81656925164204,2.967526693552162,3.4793876649427764,,,
Problem_3,"(10,30)-ES",Seed_4,4,14.03798831506847,-1.9227507279340732,2.950439205016307,3.521656125215559,,,
Problem_4,Individual Sigma ES,Seed_0,0,3.9798696807301557,-0.0002883306284115441,-1.990245540205577,1.990245561091078,0.0015162015051006794,0.0012,0.0013581007525503396
Problem_4,Individual Sigma ES,Seed_1,1,3.9798464643147824,0.0002668635228217323,1.989836186088276,1.9898362039832516,0.0012026673319836688,0.0012,0.0012013336659918343
Problem_4,Individual Sigma ES,Seed_2,2,3.9798828079383126,-0.00011724109057212223,-1.9904091345885329,1.9904091380414595,0.0012,0.002672447956034589,0.0019362239780172943
Problem_4,Individual Sigma ES,Seed_3,3,1.9901272356852076,-0.9959839508484533,-0.9949014229750638,1.4077687565028216,0.0015804504488546075,0.002260297988679026,0.0019203742187668166
Problem_4,Individual Sigma ES,Seed_4,4,0.9949946517938315,0.9947403070593113,0.00036300443892315335,0.9947403732937935,0.0012,0.0012,0.0012
Problem_5,Global Intermediate Recomb ES,Seed_0,0,3.9798373430724254,0.00017296088673649093,-1.9898790878454544,1.9898790953623604,0.001,0.001,0.001
Problem_5,Global Intermediate Recomb ES,Seed_1,1,4.974845527969187,0.9946808931465918,-1.9894628393427443,2.2242644780503498,0.001,0.001,0.001
Problem_5,Global Intermediate Recomb ES,Seed_2,2,4.471959590723884e-05,0.0002293082381379176,-0.0004157258915543728,0.0004747739303990838,0.0010302675455962503,0.001,0.001015133772798125
Problem_5,Global Intermediate Recomb ES,Seed_3,3,0.9950351211241557,-0.9955610556417817,-0.0001437436681298365,0.9955610660189664,0.001,0.002372498837703344,0.001686249418851672
Problem_5,Global Intermediate Recomb ES,Seed_4,4,0.995025716954121,-0.0004039649854308502,-0.9945428202412274,0.9945429022827944,0.0014806762284861018,0.001,0.001240338114243051
Problem_6,Dual Discrete Recomb ES,Seed_0,0,0.00012613792021909376,0.0007852502504309938,0.00013850795136540698,0.0007973721893779469,0.0016324092667758425,0.003109243697241294,0.0023708264820085684
Problem_6,Dual Discrete Recomb ES,Seed_1,1,7.191519793892098e-05,0.000579761999922439,-0.00016237809986591949,0.0006020719424372246,0.001637793189800927,0.0037342773540969382,0.002686035271948933
Problem_6,Dual Discrete Recomb ES,Seed_2,2,7.273424673392981e-05,0.0005941298054580445,-0.00011674274837266947,0.0006054907885601715,0.001,0.001,0.001
Problem_6,Dual Discrete Recomb ES,Seed_3,3,0.9949663724586948,-0.9947894712097686,9.094279591387094e-05,0.9947894753667246,0.001,0.0011126624287730524,0.001056331214386526
Problem_6,Dual Discrete Recomb ES,Seed_4,4,3.979834152324745,-1.9898733148335024,-0.00011583277014370135,1.9898733182048804,0.0013492621680033278,0.001222332073140479,0.0012857971205719034
